"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 0.00208945346236631 0.00115340936127217 0.00199490844173347 0.000563699909354309 0.000563699909354309 0.00115822405588594 0.00115822405588594 0.000410830619030695 0.000398002245135695
"2" 0.00538957196016636 0.00409282793408869 0.00301667100979848 0.00449148161214006 0.00449148161214006 0.00144370646249602 0.00144370646249602 0.00132737047000827 0.00261841082893854
"3" 0.00494569525330197 0.00983069844010198 0.00343813717779316 0.044144160139549 0.044144160139549 0.00162342467780232 0.00162342467780232 0.00088551171692737 0.0166208666977671
"4" 0.00754967677489012 0.00977500891328795 0.00461653201943804 0.0281270715841015 0.0281270715841015 0.00181187621900321 0.00181187621900321 0.0147624456572553 0.0066849704289637
"5" 0.00518832265621261 0.00376459339623527 0.00376704695845979 0.00143930024677129 0.00143930024677129 0.00267034215085099 0.00267034215085099 0.00551633048147655 0.00414604557035126
"6" 0.00538837553870099 0.00402681890501168 0.00325322206284578 0.0179045629234577 0.0179045629234577 0.00222699264615103 0.00222699264615103 0.00395229311430967 0.00560552689978487
"7" 0.00221591770658706 0.00163168240529595 0.00279161566319718 0.000390850606747569 0.000390850606747569 0.00380850850161142 0.00380850850161142 0.00353190686762683 0.00711140391890775
"8" 0.00531501031766164 0.00430567996168448 0.0033269471337629 0.0035139025969738 0.0035139025969738 0.0417260381296799 0.0417260381296799 0.00358497769490614 0.00733868282248914
"9" 0.00900562202786995 0.00671270727423104 0.00625657367272611 0.0128696524051512 0.0128696524051512 0.0356948521013692 0.0356948521013692 0.0126286755479373 0.008026312926316
"10" 0.00539198176962633 0.00414581300701451 0.00337241613254356 0.0341386160323917 0.0341386160323917 0.0019859338118621 0.0019859338118621 0.00575383649851726 0.0068564133370505
"11" 0.00522757378579052 0.0041987353711099 0.00366076170289938 0.0411331901159915 0.0411331901159915 0.00220359015953807 0.00220359015953807 0.00654563891714571 0.00645162709166251
"12" 0.00968860109381694 0.00256807336514898 0.00401502027332482 0.00404205094077488 0.00404205094077488 0.00211364884931432 0.00211364884931432 0.0276075329564892 0.0121067402490822
